data	avg_judgment_no	kri_full	kri_annotator2,mean_others	kri_annotator1,mean_others	kri_annotator1,annotator2	kri_annotator0,mean_others	kri_annotator0,annotator2	kri_annotator0,annotator1	kri2_full	kri2_annotator1,annotator2	kri2_annotator0,annotator2	kri2_annotator0,annotator1	spr_mean_weighted	spr_mean	spr_annotator2,mean_others	spr_annotator1,mean_others	spr_annotator1,annotator2	spr_annotator0,mean_others	spr_annotator0,annotator2	spr_annotator0,annotator1	overlap_annotator1,annotator2	overlap_annotator0,annotator2	overlap_annotator0,annotator1	judgments_annotator0	judgments_annotator1	judgments_annotator2	judgments_total	judgment_1.0	judgment_2.0	judgment_3.0	judgment_4.0	judgment_0.0
strøm	1.875	0.6265410134060292	0.5759143293645865	0.6334076586560882	0.6984363365599404	0.6359446170987095	0.5323584363243492	0.6370855368747863	0.3325357426330129	0.37742188876253324	0.21992895135968848	0.46829101979208376	0.8144207754223811	0.8079349544430219	0.7741056799800567	0.6556088148596534	0.7141493694744812	0.8941411898818168	0.9082121575113262	0.8014433363432583	68	81	60	125	122	143	390	161	75	9	131	14
stryk	1.8287037037037037	0.9315388594297194	0.9464583748151282	0.9305274007418703	0.8892641122920332	0.9579601682914947	0.9572649572649573	0.9071757735352205	0.8475863190373497	0.7546838378378188	0.9032538315993395	0.7948664892283612	0.9148590286255922	0.9185948438065008	0.9471777760925377	0.9312289304267108	0.8910791305898914	0.958372225942401	0.9577271946177289	0.9069782062118823	63	48	71	121	156	118	395	202	0	2	139	52
syden	2.2473684210526317	0.0	0.0	0.0	0.0	nan	nan	nan	0.9877086736669428	0.9775494073021056	1.0	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	109	78	126	128	188	111	427	1	0	0	426	0
tape	1.7621359223300972	0.8119010619010619	0.803125	nan	nan	0.8119010619010619	0.803125	nan	0.833037092377951	nan	0.8245446759023893	1.0	0.956182887467515	0.956182887467515	0.9561828874675149	nan	nan	0.95521850710367	0.956182887467515	nan	0	32	1	133	110	120	363	0	26	26	92	219
tavle	1.7326732673267327	0.5317644446363802	0.49464093323736635	0.4848027976899514	0.29847300590995407	0.7361807891283443	0.6014460176852771	0.6558528801066332	0.43223549266267525	0.019499353036146805	0.4491844029183071	0.7021634445086118	0.5820691185935354	0.5920588023457547	0.5967635107031463	0.5236251513206619	0.3465685969458441	0.7741843060432508	0.775334717872844	0.6542730922185759	54	46	53	115	124	111	350	49	115	31	134	21
tendens	1.6372093023255814	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	52	50	55	115	122	115	352	0	0	1	346	5
terror	1.7884615384615385	0.3437719159482191	0.5460717283779648	0.5449539216951012	0.7620665948275862	-0.06409438303817239	-0.059249732321487114	-0.04081632653061229	0.7547096055103962	0.885036343397842	0.7054701444804304	0.7804311839784864	0.7674406128388144	0.7674406128388144	0.5575182597345518	0.5943330375513054	0.7674406128388144	nan	nan	nan	64	63	77	129	132	111	372	0	26	9	337	0
test	1.9956709956709957	0.49502742002239464	0.4712752825892782	0.48904593090699155	0.4712752825892782	nan	nan	nan	0.8721296133418048	0.7841175741136018	1.0	1.0	0.4878544906301433	0.4878544906301433	0.4878544906301433	0.5020823260994972	0.4878544906301433	nan	nan	nan	105	52	96	115	231	115	461	12	0	20	399	30
tjener	1.702970297029703	-0.16325925925925922	-0.20025351050452045	-0.17234129917056729	-0.23232323232323226	-0.21733817289291957	-0.18571428571428572	-0.109375	0.3380236296352107	0.13862006857652465	0.349593007285386	0.5358064997456199	-0.2392719838407377	-0.2392719838407377	-0.1655362958807755	-0.18649160971316164	-0.2392719838407377	nan	nan	nan	31	42	36	116	111	117	344	0	0	38	156	150
utakt	1.7932692307692308	0.27389848361671076	0.15104014271451016	0.1742847681799119	-0.07487244637874046	0.5011781900986312	0.3079358116845249	0.7498655190962884	0.509264954288878	0.00068305217470499	0.3759559693056208	0.916125725600649	0.5249972809421145	0.5094812926617518	0.41332695367714956	0.3438188140274546	0.23843439671838781	0.5979450483391981	0.5158550596602022	0.7741544216066654	66	57	78	121	137	115	373	37	0	21	315	0
vert	1.7295918367346939	0.555163893232075	0.5423469387755102	0.39115640925127404	0.4213750407298795	0.6988685113685114	0.7852749619474616	0.7023809523809523	0.6294601537554003	0.506404273521839	0.8149225788815153	0.7945341480790634	0.7685225592009257	0.7596284473630498	0.727306741193453	0.47953511564537754	0.6859496685615317	0.778617014050833	0.8610106188162174	0.7319250547113999	20	23	13	115	111	113	339	0	24	47	63	205
vindu	1.6945812807881773	0.8323088660715071	0.7689691743030589	0.8665222739238128	0.7071501216810141	0.9018982413910525	0.7869647593785525	0.9330842542049439	0.8463543227829416	0.7518402421960173	0.8057880056002135	0.9351376894470478	0.8307294322078392	0.8231282114763091	0.7613190180529608	0.8780760341418228	0.7080514800462759	0.9240656631144197	0.8051502669151365	0.956182887467515	54	50	63	119	114	111	344	38	31	0	274	1
virkelighet	1.8341232227488151	0.035530746057061746	0.17171170634792932	-0.38761582920974624	-0.3583333333333334	0.2556340581924563	0.44737392759991623	-0.3750000000000002	0.30602429226951056	0.07093812835150304	0.6711082951672527	0.049025511510679465	0.4461643039950198	0.4461643039950198	0.28656033345100385	nan	nan	0.36591038831509526	0.4461643039950198	nan	82	70	61	115	143	129	387	0	0	135	251	1
virus	1.7772511848341233	0.9051770573510729	0.9271987203620115	0.8773721942550412	0.8293970757999535	0.9984595881352294	0.9975585708249214	0.901932712956335	0.9617862797124958	0.9233176263233426	0.9992165370813975	0.9652647926410245	0.9138570548078923	0.9194940554251282	0.9366021996414949	0.8893172075393317	0.8527711196385446	0.999003175906661	0.9999999999999999	0.90571104663684	74	59	69	115	135	125	375	14	20	0	340	1
